# help-inventory.csv — Phase 1 Discovery & Inventory (RC_ERP_v2)
# Generated by P1-INVENTORY agent from routes/web.php (1,940 lines).
#
# Each row = one authenticated PAGE route (after collapsing standard
# resource actions index/create/store/show/edit/update/destroy into a
# single row keyed by the .index route name). Custom action routes
# (e.g. audit, checklist, reconcile, weekly-report) get their own row.
#
# Total page-route rows: 215
# Per-module counts:
#   master-data: 30
#   inventory: 28
#   purchasing: 8
#   sales: 25
#   accounting: 33
#   finance: 38
#   reports: 36
#   system: 17
#
# SKIPPED AJAX: 224 (returning JSON / form-POST mutations / file downloads)
# SKIPPED AUTH/BRANCH-SWITCH/UI-PREVIEW: 3
#
# Columns: module,menu_key,route_name,uri,controller,action,menu_label_bn,menu_label_en,has_help_content
module,menu_key,route_name,uri,controller,action,menu_label_bn,menu_label_en,has_help_content
master-data,master-data.warehouses,admin.warehouses.index,admin/warehouses,WarehouseController,index,গুদাম,Warehouse,no
master-data,master-data.warehouses-audit,admin.warehouses.audit,admin/warehouses/audit,WarehouseController,audit,Warehouse Audit,Warehouse Audit,no
master-data,master-data.warehouses-print,admin.warehouses.print,admin/warehouses/print,WarehouseController,print,Warehouse Directory Print,Warehouse Directory Print,no
inventory,inventory.damages,admin.damages.index,admin/damages,DamageController,index,ক্ষতি,Damage,no
inventory,inventory.damages-download-attachment,admin.damages.attachments.download,admin/damages/{id}/attachments/{attachmentId}/download,DamageController,downloadAttachment,Download Attachment,Download Attachment,no
inventory,inventory.damages-print,admin.damages.print,admin/damages/{id}/print,DamageController,print,Damage Print,Damage Print,no
inventory,inventory.damages-show,admin.damages.show,admin/damages/{id},DamageController,show,Damage Detail,Damage Detail,no
inventory,inventory.damages-view-attachment,admin.damages.attachments.view,admin/damages/{id}/attachments/{attachmentId}/view,DamageController,viewAttachment,View Attachment,View Attachment,no
inventory,inventory.stock-adjustments,admin.stock-adjustments.index,admin/stock-adjustments,StockAdjustmentController,index,স্টক অ্যাডজাস্টমেন্ট,Stock Adjustment,no
inventory,inventory.stock-adjustments-audit,admin.stock-adjustments.audit,admin/stock-adjustments/audit,StockAdjustmentController,audit,Stock Adjustment Audit,Stock Adjustment Audit,no
inventory,inventory.stock-adjustments-checklist,admin.stock-adjustments.checklist,admin/stock-adjustments/checklist,StockAdjustmentController,checklist,Stock Adjustment Checklist,Stock Adjustment Checklist,no
inventory,inventory.stock-adjustments-print,admin.stock-adjustments.print,admin/stock-adjustments/{id}/print,StockAdjustmentController,print,Stock Adjustment Print,Stock Adjustment Print,no
inventory,inventory.stock-adjustments-reconcile,admin.stock-adjustments.reconcile,admin/stock-adjustments/reconcile,StockAdjustmentController,reconcile,Stock Adjustment Reconcile,Stock Adjustment Reconcile,no
inventory,inventory.stock-adjustments-show,admin.stock-adjustments.show,admin/stock-adjustments/{id},StockAdjustmentController,show,Stock Adjustment Detail,Stock Adjustment Detail,no
inventory,inventory.stock-take,admin.stock-take.index,admin/stock-take,StockTakeController,index,ফিজিক্যাল কাউন্ট,Physical Count,no
inventory,inventory.stock-take-abc-report,admin.stock-take.abc-report,admin/stock-take/abc-report,StockTakeController,abcReport,ABC Report,ABC Report,no
inventory,inventory.stock-take-audit,admin.stock-take.audit,admin/stock-take/audit,StockTakeController,audit,Stock Take Audit,Stock Take Audit,no
inventory,inventory.stock-take-checklist,admin.stock-take.checklist,admin/stock-take/checklist,StockTakeController,checklist,Stock Take Checklist,Stock Take Checklist,no
inventory,inventory.stock-take-count,admin.stock-take.count,admin/stock-take/{session}/warehouses/{warehouse}/count,StockTakeController,count,Stock Take Count,Stock Take Count,no
inventory,inventory.stock-take-health-summary,admin.stock-take.health-summary,admin/stock-take/health-summary,StockTakeController,healthSummary,Stock Take Health Summary,Stock Take Health Summary,no
inventory,inventory.stock-take-setup,admin.stock-take.setup,admin/stock-take/{session}/warehouses/{warehouse}/setup,StockTakeController,setupCounts,Stock Take Setup,Stock Take Setup,no
inventory,inventory.stock-transactions,admin.stock.transactions,admin/stock/transactions,StockTransactionController,index,স্টক লেজার,Stock Ledger,no
inventory,inventory.stock-transactions-drift,admin.stock.drift,admin/stock/drift,StockTransactionController,drift,Stock Drift,Stock Drift,no
inventory,inventory.stock-transactions-show,admin.stock.show,admin/stock/transactions/{id},StockTransactionController,show,Stock Transaction Detail,Stock Transaction Detail,no
inventory,inventory.stock-transactions-warehouse-stock,admin.stock.warehouse_stock,admin/stock/warehouse-stock,StockTransactionController,warehouseStock,Warehouse Stock,Warehouse Stock,no
inventory,inventory.warehouse-transfers,admin.warehouse-transfers.index,admin/warehouse-transfers,WarehouseTransferController,index,ওয়্যারহাউস ট্রান্সফার,Warehouse Transfer,no
inventory,inventory.warehouse-transfers-audit,admin.warehouse-transfers.audit,admin/warehouse-transfers/{id}/audit,WarehouseTransferController,audit,Warehouse Transfer Audit,Warehouse Transfer Audit,no
inventory,inventory.warehouse-transfers-checklist,admin.warehouse-transfers.checklist,admin/warehouse-transfers/checklist,WarehouseTransferController,checklist,Warehouse Transfer Checklist,Warehouse Transfer Checklist,no
inventory,inventory.warehouse-transfers-print,admin.warehouse-transfers.print,admin/warehouse-transfers/{id}/print,WarehouseTransferController,print,Warehouse Transfer Print,Warehouse Transfer Print,no
inventory,inventory.warehouse-transfers-reconcile,admin.warehouse-transfers.reconcile,admin/warehouse-transfers/reconcile,WarehouseTransferController,reconcile,Warehouse Transfer Reconcile,Warehouse Transfer Reconcile,no
inventory,inventory.warehouse-transfers-summary,admin.warehouse-transfers.summary,admin/warehouse-transfers/summary,WarehouseTransferController,summary,Warehouse Transfer Summary,Warehouse Transfer Summary,no
purchasing,purchasing.purchase-audit,admin.purchase-audit.checklist,admin/purchase-audit,PurchaseAuditController,checklist,পারচেজ অডিট,Purchase Audit,no
purchasing,purchasing.purchase-orders,admin.purchase-orders.index,admin/purchase-orders,PurchaseOrderController,index,পি. অর্ডার,P. Order,no
purchasing,purchasing.purchase-orders-audit,admin.purchase-orders.audit,admin/purchase-orders/audit,PurchaseOrderController,audit,Purchase Order Audit,Purchase Order Audit,no
purchasing,purchasing.purchase-receives,admin.purchase-receives.index,admin/purchase-receives,PurchaseReceiveController,index,পি. রিসিভ,P. Receive,no
purchasing,purchasing.purchase-receives-audit,admin.purchase-receives.audit,admin/purchase-receives/audit,PurchaseReceiveController,audit,Purchase Receive Audit,Purchase Receive Audit,no
purchasing,purchasing.purchase-returns,admin.purchase-returns.index,admin/purchase-returns,PurchaseReturnController,index,পি. রিটার্ন,P. Return,no
purchasing,purchasing.purchase-returns-audit,admin.purchase-returns.audit,admin/purchase-returns/audit,PurchaseReturnController,audit,Purchase Return Audit,Purchase Return Audit,no
purchasing,purchasing.purchase-returns-slip,admin.purchase-returns.slip,admin/purchase-returns/{id}/slip,PurchaseReturnController,slip,Purchase Return Slip,Purchase Return Slip,no
sales,sales.cart,admin.sales.cart,admin/sales/cart,SalesCartController,index,সেলস কার্ট,Sales Cart,no
sales,sales.challans,admin.sales-challans.index,admin/sales-challans,SalesChallanController,index,চালান,Challan,no
sales,sales.challans-blank-godown-form,admin.sales-challans.blank-godown-form,admin/sales-challans/blank-godown/{invoiceId},SalesChallanController,blankGodownForm,Blank Godown Form,Blank Godown Form,no
sales,sales.challans-challan-form,admin.sales-challans.challan-form,admin/sales-challans/issue/{invoiceId},SalesChallanController,challanForm,Issue Challan Form,Issue Challan Form,no
sales,sales.challans-godown,admin.sales-challans.godown,admin/sales-challans/godown/{invoiceId},SalesChallanController,godown,Godown Prep,Godown Prep,no
sales,sales.challans-print-challan,admin.sales-challans.print-challan,admin/sales-challans/{id}/print-challan,SalesChallanController,printChallan,Print Challan,Print Challan,no
sales,sales.commission-rules,admin.commission-rules.index,admin/commission-rules,CommissionRuleController,index,কমিশন রুল,Commission Rules,no
sales,sales.commission-rules-create,admin.commission-rules.create,admin/commission-rules/create,CommissionRuleController,create,Create Commission Rule,Create Commission Rule,no
sales,sales.commission-rules-show,admin.commission-rules.show,admin/commission-rules/{id},CommissionRuleController,show,Commission Rule Detail,Commission Rule Detail,no
sales,sales.customer-payments,admin.customer-payments.index,admin/customer-payments,CustomerPaymentController,index,কাস্টমার পেমেন্ট,Customer Payment,no
sales,sales.customer-payments-audit,admin.customer-payments.audit,admin/customer-payments/audit,CustomerPaymentController,audit,Customer Payment Audit,Customer Payment Audit,no
sales,sales.customer-payments-print-receipt,admin.customer-payments.print-receipt,admin/customer-payments/{id}/print-receipt,CustomerPaymentController,printReceipt,Print Payment Receipt,Print Payment Receipt,no
sales,sales.customer-payments-slip,admin.customer-payments.slip,admin/customer-payments/{id}/slip,CustomerPaymentController,slip,Payment Slip,Payment Slip,no
sales,sales.go-live-checklist,admin.sales.go-live-checklist,admin/sales/go-live-checklist,GoLiveChecklistController,index,গো-লাইভ চেকলিস্ট,Go-Live Checklist,no
sales,sales.guide,admin.sales.guide,admin/sales/guide,SalesGuideController,guide,সেলস গাইড,Sales Guide,no
sales,sales.invoices,admin.sales-invoices.index,admin/sales-invoices,SalesInvoiceController,index,সেলস ইনভয়েস,Sales Invoice,no
sales,sales.invoices-audit,admin.sales.audit,admin/sales/audit,SalesInvoiceController,auditTrail,Sales Audit Trail,Sales Audit Trail,no
sales,sales.invoices-print-blank-godown,admin.sales-invoices.print-blank-godown,admin/sales-invoices/{id}/print-blank-godown,SalesInvoiceController,printBlankGodown,Print Blank Godown Copy,Print Blank Godown Copy,no
sales,sales.invoices-print-godown,admin.sales-invoices.print-godown,admin/sales-invoices/{id}/print-godown,SalesInvoiceController,printGodown,Print Godown Copy,Print Godown Copy,no
sales,sales.invoices-print-invoice,admin.sales-invoices.print-invoice,admin/sales-invoices/{id}/print-invoice,SalesInvoiceController,printInvoice,Print Invoice,Print Invoice,no
sales,sales.invoices-receive-modal,admin.sales-invoices.receive-modal,admin/sales-invoices/{id}/receive-modal,SalesInvoiceController,receiveModal,Receive Payment Modal,Receive Payment Modal,no
sales,sales.returns,admin.sales-returns.index,admin/sales-returns,SalesReturnController,index,সেলস রিটার্ন,Sales Return,no
sales,sales.returns-audit,admin.sales-returns.audit,admin/sales-returns/audit,SalesReturnController,audit,Sales Return Audit,Sales Return Audit,no
sales,sales.returns-print-slip,admin.sales-returns.print-slip,admin/sales-returns/{id}/print-slip,SalesReturnController,printSlip,Print Return Slip,Print Return Slip,no
sales,sales.returns-reverse-preview,admin.sales-returns.reverse-preview,admin/sales-returns/{id}/reverse-preview,SalesReturnController,reversePreview,Return Reverse Preview,Return Reverse Preview,no
accounting,accounting.approvals,admin.approvals.queue,admin/approvals,ApprovalController,queue,অ্যাপ্রুভাল কিউ,Approval Queue,no
accounting,accounting.approvals-workflows,admin.approvals.workflows,admin/approvals/workflows,ApprovalController,workflows,Approval Workflows,Approval Workflows,no
accounting,accounting.bank-reconciliation,admin.bank-reconciliation.index,admin/bank-reconciliation,BankReconciliationController,index,ব্যাংক রিকনসিলিয়েশন,Bank Reconciliation,no
accounting,accounting.bank-reconciliation-create,admin.bank-reconciliation.create,admin/bank-reconciliation/create,BankReconciliationController,create,Create Bank Reconciliation,Create Bank Reconciliation,no
accounting,accounting.bank-reconciliation-import-statement,admin.bank-reconciliation.import-statement-page,admin/bank-reconciliation/import-statement,BankReconciliationController,importStatementPage,Import Bank Statement,Import Bank Statement,no
accounting,accounting.bank-reconciliation-show,admin.bank-reconciliation.show,admin/bank-reconciliation/{bankReconciliation},BankReconciliationController,show,Bank Reconciliation Detail,Bank Reconciliation Detail,no
accounting,accounting.bank-reconciliation-unreconciled,admin.bank-reconciliation.unreconciled,admin/bank-reconciliation/unreconciled,BankReconciliationController,unreconciled,Unreconciled Entries,Unreconciled Entries,no
accounting,accounting.employee-transactions,admin.employee-transactions.index,admin/employee-transactions,EmployeeTransactionController,index,কর্মচারী লেনদেন,Employee Transaction,no
accounting,accounting.employee-transactions-audit,admin.employee-transactions.audit,admin/employee-transactions/audit,EmployeeTransactionController,audit,Employee Transaction Audit,Employee Transaction Audit,no
accounting,accounting.employee-transactions-show,admin.employee-transactions.show,admin/employee-transactions/{id},EmployeeTransactionController,show,Employee Transaction Detail,Employee Transaction Detail,no
accounting,accounting.employee-transactions-slip,admin.employee-transactions.slip,admin/employee-transactions/{id}/slip,EmployeeTransactionController,slip,Employee Transaction Slip,Employee Transaction Slip,no
accounting,accounting.manual-journals,admin.manual-journals.index,admin/manual-journals,ManualJournalController,index,ম্যানুয়াল জার্নাল,Manual Journal,no
accounting,accounting.manual-journals-audit,admin.manual-journals.audit,admin/manual-journals/audit,ManualJournalController,audit,Manual Journal Audit,Manual Journal Audit,no
accounting,accounting.manual-journals-show,admin.manual-journals.show,admin/manual-journals/{id},ManualJournalController,show,Manual Journal Detail,Manual Journal Detail,no
accounting,accounting.money-transfers,admin.money-transfers.index,admin/money-transfers,MoneyTransferController,index,মানি ট্রান্সফার,Money Transfer,no
accounting,accounting.money-transfers-audit,admin.money-transfers.audit,admin/money-transfers/audit,MoneyTransferController,audit,Money Transfer Audit,Money Transfer Audit,no
accounting,accounting.money-transfers-show,admin.money-transfers.show,admin/money-transfers/{id},MoneyTransferController,show,Money Transfer Detail,Money Transfer Detail,no
accounting,accounting.money-transfers-slip,admin.money-transfers.slip,admin/money-transfers/{id}/slip,MoneyTransferController,slip,Money Transfer Slip,Money Transfer Slip,no
accounting,accounting.other-expenses,admin.other-expenses.index,admin/other-expenses,OtherExpenseController,index,অন্যান্য খরচ,Other Expense,no
accounting,accounting.other-expenses-audit,admin.other-expenses.audit,admin/other-expenses/audit,OtherExpenseController,audit,Other Expense Audit,Other Expense Audit,no
accounting,accounting.other-expenses-show,admin.other-expenses.show,admin/other-expenses/{id},OtherExpenseController,show,Other Expense Detail,Other Expense Detail,no
accounting,accounting.other-expenses-slip,admin.other-expenses.slip,admin/other-expenses/{id}/slip,OtherExpenseController,slip,Other Expense Slip,Other Expense Slip,no
accounting,accounting.other-incomes,admin.other-incomes.index,admin/other-incomes,OtherIncomeController,index,অন্যান্য আয়,Other Income,no
accounting,accounting.other-incomes-audit,admin.other-incomes.audit,admin/other-incomes/audit,OtherIncomeController,audit,Other Income Audit,Other Income Audit,no
accounting,accounting.other-incomes-show,admin.other-incomes.show,admin/other-incomes/{id},OtherIncomeController,show,Other Income Detail,Other Income Detail,no
accounting,accounting.other-incomes-slip,admin.other-incomes.slip,admin/other-incomes/{id}/slip,OtherIncomeController,slip,Other Income Slip,Other Income Slip,no
accounting,accounting.period-close,admin.accounting.period-close,admin/accounting/period-close,AccountingPeriodController,index,পিরিয়ড ক্লোজ,Period Close,no
accounting,accounting.reconciliation,admin.reconciliation.index,admin/reconciliation,ReconciliationController,index,রিকনসিলিয়েশন,Reconciliation,no
accounting,accounting.reconciliation-section,admin.reconciliation.section,admin/reconciliation/section/{sectionId},ReconciliationController,section,Reconciliation Section,Reconciliation Section,no
accounting,accounting.supplier-transactions,admin.supplier-transactions.index,admin/supplier-transactions,SupplierTransactionController,index,সাপ্লায়ার পেমেন্ট,Supplier Payment,no
accounting,accounting.supplier-transactions-audit,admin.supplier-transactions.audit,admin/supplier-transactions/audit,SupplierTransactionController,audit,Supplier Payment Audit,Supplier Payment Audit,no
accounting,accounting.supplier-transactions-show,admin.supplier-transactions.show,admin/supplier-transactions/{id},SupplierTransactionController,show,Supplier Payment Detail,Supplier Payment Detail,no
accounting,accounting.supplier-transactions-slip,admin.supplier-transactions.slip,admin/supplier-transactions/{id}/slip,SupplierTransactionController,slip,Supplier Payment Slip,Supplier Payment Slip,no
finance,finance.branch-demand,admin.branch-demands.index,admin/branch-demands,BranchDemandController,index,ব্র্যাঞ্চ ডিমান্ড,Branch Demand,no
finance,finance.branch-demand-audit,admin.branch-demands.audit,admin/branch-demands/{id}/audit,BranchDemandController,audit,Branch Demand Audit,Branch Demand Audit,no
finance,finance.branch-demand-checklist,admin.branch-demands.checklist,admin/branch-demands/checklist,BranchDemandController,checklist,অডিট চেকলিস্ট,Audit Checklist,no
finance,finance.branch-demand-pending,admin.branch-demands.pending,admin/branch-demands/pending,BranchDemandController,pending,আমার জন্য পেন্ডিং,Pending for Me,no
finance,finance.branch-demand-pending-receipt,admin.branch-demands.pending-receipt,admin/branch-demands/pending-receipt,BranchDemandController,pendingReceipt,রিসিট কনফার্মেশন,Receipt Confirmations,no
finance,finance.branch-demand-price-range-comparison,admin.branch-demands.price-range-comparison,admin/branch-demands/price-range-comparison,BranchDemandController,priceRangeComparison,Price Range Comparison,Price Range Comparison,no
finance,finance.branch-demand-reconcile,admin.branch-demands.reconcile,admin/branch-demands/reconcile,BranchDemandController,reconcile,রিকনসিলিয়েশন,Reconciliation,no
finance,finance.branch-demand-shadow,admin.branch-demand-shadow.index,admin/branch-demand-shadow,BranchDemandShadowController,index,ব্র্যাঞ্চ ডিমান্ড শ্যাডো,Branch Demand Shadow,no
finance,finance.branch-demand-shadow-comparison-detail,admin.branch-demand-shadow.detail,admin/branch-demand-shadow/comparisons/{id},BranchDemandShadowController,comparisonDetail,Branch Demand Shadow Comparison Detail,Branch Demand Shadow Comparison Detail,no
finance,finance.branch-demand-shadow-comparisons,admin.branch-demand-shadow.comparisons,admin/branch-demand-shadow/comparisons,BranchDemandShadowController,comparisons,Branch Demand Shadow Comparisons,Branch Demand Shadow Comparisons,no
finance,finance.branch-demand-shadow-cutover,admin.branch-demand-shadow.cutover,admin/branch-demand-shadow/cutover,BranchDemandShadowController,cutover,Branch Demand Shadow Cutover,Branch Demand Shadow Cutover,no
finance,finance.branch-demand-weekly-report,admin.branch-demands.weekly-report,admin/branch-demands/weekly-report,BranchDemandReportController,weekly,ব্র্যাঞ্চ ডিমান্ড উইকলি রিপোর্ট,Branch Demand Weekly,no
finance,finance.branch-demand-weekly-report-drill-down,admin.branch-demands.weekly-report.drill-down,admin/branch-demands/weekly-report/drill-down,BranchDemandReportController,drillDown,Weekly Report Drill-down,Weekly Report Drill-down,no
finance,finance.budgets,admin.budgets.index,admin/budgets,BudgetController,index,বাজেট,Budget,no
finance,finance.budgets-variance,admin.budgets.variance,admin/budgets/variance,BudgetController,varianceReport,Budget Variance Report,Budget Variance Report,no
finance,finance.consolidation,admin.consolidation.index,admin/consolidation,ConsolidationController,index,কনসলিডেশন,Consolidation,no
finance,finance.consolidation-companies,admin.consolidation.companies,admin/consolidation/companies,ConsolidationController,companiesIndex,Consolidation Companies,Consolidation Companies,no
finance,finance.consolidation-consolidated-bs,admin.consolidation.consolidated-bs,admin/consolidation/consolidated-bs,ConsolidationController,consolidatedBalanceSheet,Consolidated Balance Sheet,Consolidated Balance Sheet,no
finance,finance.consolidation-consolidated-pnl,admin.consolidation.consolidated-pnl,admin/consolidation/consolidated-pnl,ConsolidationController,consolidatedProfitAndLoss,Consolidated P&L,Consolidated P&L,no
finance,finance.consolidation-consolidated-tb,admin.consolidation.consolidated-tb,admin/consolidation/consolidated-tb,ConsolidationController,consolidatedTrialBalance,Consolidated Trial Balance,Consolidated Trial Balance,no
finance,finance.consolidation-create,admin.consolidation.create,admin/consolidation/create,ConsolidationController,create,Create Consolidation Run,Create Consolidation Run,no
finance,finance.consolidation-intercompany-reconciliation,admin.consolidation.reconciliation,admin/consolidation/reconciliation,ConsolidationController,intercompanyReconciliation,Intercompany Reconciliation,Intercompany Reconciliation,no
finance,finance.consolidation-rules,admin.consolidation.rules,admin/consolidation/rules,ConsolidationController,rulesIndex,Elimination Rules,Elimination Rules,no
finance,finance.consolidation-show,admin.consolidation.show,admin/consolidation/{consolidationRun},ConsolidationController,show,Consolidation Run Detail,Consolidation Run Detail,no
finance,finance.dimensions,admin.dimensions.index,admin/dimensions,DimensionController,index,ডাইমেনশন,Dimension,no
finance,finance.dimensions-segment-bs,admin.dimensions.segment-bs,admin/dimensions/segment-bs,DimensionController,segmentBs,Segment Balance Sheet,Segment Balance Sheet,no
finance,finance.dimensions-segment-pnl,admin.dimensions.segment-pnl,admin/dimensions/segment-pnl,DimensionController,segmentPnl,Segment P&L,Segment P&L,no
finance,finance.fiscal-years,admin.fiscal-years.index,admin/fiscal-years,FiscalYearController,index,ফিসকাল ইয়ার,Fiscal Year,no
finance,finance.fiscal-years-close-log,admin.fiscal-years.close-log,admin/fiscal-years/close-log,FiscalYearController,closeLog,Fiscal Year Close Log,Fiscal Year Close Log,no
finance,finance.fixed-assets,admin.fixed-assets.index,admin/fixed-assets,FixedAssetController,index,ফিক্সড অ্যাসেট,Fixed Asset,no
finance,finance.fixed-assets-depreciation,admin.fixed-assets.depreciation,admin/fixed-assets/depreciation,FixedAssetController,depreciation,Depreciation Schedule,Depreciation Schedule,no
finance,finance.fixed-assets-disposals,admin.fixed-assets.disposals,admin/fixed-assets/disposals,FixedAssetController,disposals,Asset Disposals,Asset Disposals,no
finance,finance.fixed-assets-show-disposal,admin.fixed-assets.show-disposal,admin/fixed-assets/disposals/{disposal},FixedAssetController,showDisposal,Disposal Detail,Disposal Detail,no
finance,finance.shadow-mode,admin.shadow-mode.index,admin/shadow-mode,ShadowModeController,index,শ্যাডো মোড,Shadow Mode,no
finance,finance.shadow-mode-comparison-detail,admin.shadow-mode.detail,admin/shadow-mode/comparisons/{id},ShadowModeController,comparisonDetail,Shadow Comparison Detail,Shadow Comparison Detail,no
finance,finance.shadow-mode-comparisons,admin.shadow-mode.comparisons,admin/shadow-mode/comparisons,ShadowModeController,comparisons,Shadow Comparisons,Shadow Comparisons,no
finance,finance.shadow-mode-cutover,admin.shadow-mode.cutover,admin/shadow-mode/cutover,ShadowModeController,cutover,Shadow Cutover,Shadow Cutover,no
finance,inventory.branch-demand,admin.branch-demands.index,admin/branch-demands,BranchDemandController,index,ব্র্যাঞ্চ ডিমান্ড,Branch Demand,no
reports,reports.csv-export,admin.sales-invoices.export-csv,admin/sales-invoices/export-csv,CsvExportController,exportInvoices,CSV এক্সপোর্ট,CSV Export,no
reports,reports.csv-export-export-challans,admin.sales-challans.export-csv,admin/sales-challans/export-csv,CsvExportController,exportChallans,Export Challans CSV,Export Challans CSV,no
reports,reports.customer-performance,admin.reports.customerPerformance,admin/reports/customer-performance,CustomerPerformanceController,index,কাস্টমার পারফরম্যান্স,Customer Performance,no
reports,reports.dashboard,dashboard,dashboard,UserPerformanceDashboardController,index,ড্যাশবোর্ড,Dashboard,no
reports,reports.reports-hub,admin.reports.index,admin/reports,ReportController,index,রিপোর্ট,Reports,no
reports,reports.reports-hub-arAgingCte,admin.reports.arAgingCte,admin/reports/ar-aging-cte,ReportController,arAgingCte,AR Aging (CTE),AR Aging (CTE),no
reports,reports.reports-hub-balanceSheet,admin.reports.balanceSheet,admin/reports/balance-sheet,ReportController,balanceSheet,Balance Sheet,Balance Sheet,no
reports,reports.reports-hub-branchDemandWeekly,admin.reports.branchDemandWeekly,admin/reports/branch-demand-weekly,ReportController,branchDemandWeekly,Branch Demand Weekly (legacy),Branch Demand Weekly (legacy),no
reports,reports.reports-hub-branchIntercompany,admin.reports.branchIntercompany,admin/reports/branch-intercompany,ReportController,branchIntercompany,Branch Intercompany,Branch Intercompany,no
reports,reports.reports-hub-branchWiseLedger,admin.reports.branchWiseLedger,admin/reports/branch-wise-ledger,ReportController,branchWiseLedger,Branch-wise Ledger,Branch-wise Ledger,no
reports,reports.reports-hub-cashFlow,admin.reports.cashFlow,admin/reports/cash-flow,ReportController,cashFlow,Cash Flow,Cash Flow,no
reports,reports.reports-hub-dailyCashBook,admin.reports.dailyCashBook,admin/reports/daily-cash-book,ReportController,dailyCashBook,Daily Cash Book,Daily Cash Book,no
reports,reports.reports-hub-damageReport,admin.reports.damageReport,admin/reports/damage,ReportController,damageReport,Damage Report,Damage Report,no
reports,reports.reports-hub-damageReportExport,admin.reports.damageReportExport,admin/reports/damage/export,ReportController,damageReportExport,Damage Report Export,Damage Report Export,no
